Freq.	V(n081)	V(n083)
1.26191468896038e+003	(-4.58829047802726e-001dB,-5.07827507753128e+001°)	(-4.58885753856393e-001dB,1.29172336732083e+002°)
1.29130845806930e+003	(-1.26295410593345e+000dB,-6.87749828892072e+001°)	(-1.26301090186707e+000dB,1.11179058484839e+002°)
1.32138689601518e+003	(-2.56494538512755e+000dB,-8.56638228412298e+001°)	(-2.56500227505180e+000dB,9.42891480376329e+001°)
1.35216595078396e+003	(-4.22788567429852e+000dB,-1.00104128296248e+002°)	(-4.22794266223655e+000dB,7.98477471612172e+001°)
1.38366194183787e+003	(-6.05164875903869e+000dB,-1.11732515639869e+002°)	(-6.05170584855646e+000dB,6.82182388935687e+001°)
1.41589156876827e+003	(-7.88716018797670e+000dB,-1.20882666177347e+002°)	(-7.88721738141265e+000dB,5.90669413397948e+001°)
1.44887192014997e+003	(-9.65581505115254e+000dB,-1.28088626462491e+002°)	(-9.65587234828437e+000dB,5.18598073385151e+001°)
1.48262048260183e+003	(-1.13262324314488e+001dB,-1.33833333675323e+002°)	(-1.13262898281677e+001dB,4.61138990720285e+001°)
1.51715515005836e+003	(-1.28914373086527e+001dB,-1.38487953287382e+002°)	(-1.28914947983529e+001dB,4.14580503862800e+001°)
1.55249423325738e+003	(-1.43553531424093e+001dB,-1.42322560518511e+002°)	(-1.43554107228211e+001dB,3.76221853490248e+001°)
1.58865646944855e+003	(-1.57260647109071e+001dB,-1.45531204905574e+002°)	(-1.57261223903143e+001dB,3.44122537346566e+001°)
1.62566103232819e+003	(-1.70127240573564e+001dB,-1.48254048548724e+002°)	(-1.70127818519636e+001dB,3.16880927853616e+001°)
1.66352754220533e+003	(-1.82242237532491e+001dB,-1.50593635617484e+002°)	(-1.82242816824621e+001dB,2.93471576539287e+001°)
1.70227607640474e+003	(-1.93686898368883e+001dB,-1.52626167359295e+002°)	(-1.93687479249801e+001dB,2.73132463761909e+001°)
1.74192717991215e+003	(-2.04533430781509e+001dB,-1.54409191058476e+002°)	(-2.04534013613824e+001dB,2.55288109470891e+001°)
1.78250187626748e+003	(-2.14845182352890e+001dB,-1.55986852445270e+002°)	(-2.14845767670347e+001dB,2.39497049842290e+001°)
1.82402167871181e+003	(-2.24677443919802e+001dB,-1.57393518272167e+002°)	(-2.24678032302799e+001dB,2.25415611981596e+001°)
1.86650860159397e+003	(-2.34078424314272e+001dB,-1.58656308691575e+002°)	(-2.34079016052338e+001dB,2.12772588771890e+001°)
1.90998517204286e+003	(-2.43090208872445e+001dB,-1.59796895990320e+002°)	(-2.43090803809860e+001dB,2.01351249286604e+001°)
1.95447444191161e+003	(-2.51749632217681e+001dB,-1.60832800862032e+002°)	(-2.51750229977679e+001dB,1.90976376831097e+001°)
1.99999999999999e+003	(-2.60089040594539e+001dB,-1.61778337386404e+002°)	(-2.60089640761789e+001dB,1.81504821349279e+001°)
2.04658598456150e+003	(-2.68136941231303e+001dB,-1.62645311969755e+002°)	(-2.68137543258787e+001dB,1.72818510245181e+001°)
2.09425709610179e+003	(-2.75918550776878e+001dB,-1.63443548333980e+002°)	(-2.75919153733648e+001dB,1.64819196929253e+001°)
2.14303861047520e+003	(-2.83456257590393e+001dB,-1.64181286737277e+002°)	(-2.83456860054855e+001dB,1.57424466110953e+001°)
